distribution,true_alpha,trial_id,k,gamma_hat,alpha_hat
"Uniform(0,1)",1.0,0,25,1.0251669454511114,0.9754508808903929
"Uniform(0,1)",1.0,0,50,0.9491820841657642,1.053538637825112
"Uniform(0,1)",1.0,0,75,0.9864476068475901,1.013738583841994
"Uniform(0,1)",1.0,0,100,1.0119077831102081,0.9882323435900372
"Uniform(0,1)",1.0,0,125,0.9766358154646644,1.0239231289344222
"Uniform(0,1)",1.0,0,150,0.9614064997095628,1.040142749505122
"Uniform(0,1)",1.0,0,200,0.9771717951621781,1.0233615060840282
"Uniform(0,1)",1.0,0,250,0.976921419966706,1.0236237834093969
"Uniform(0,1)",1.0,1,25,1.1945086317932658,0.8371643145840996
"Uniform(0,1)",1.0,1,50,1.1094080851521606,0.9013815685892043
"Uniform(0,1)",1.0,1,75,1.0826046731634689,0.9236982111650317
"Uniform(0,1)",1.0,1,100,1.0992765855087798,0.9096891657500087
"Uniform(0,1)",1.0,1,125,1.0914637525039759,0.9162008337023151
"Uniform(0,1)",1.0,1,150,1.0664290426779535,0.9377088957450551
"Uniform(0,1)",1.0,1,200,1.045425665082107,0.9565481634903814
"Uniform(0,1)",1.0,1,250,0.9951636739319975,1.0048598297894995
"Uniform(0,1)",1.0,2,25,0.8864464809163601,1.1280996896352438
"Uniform(0,1)",1.0,2,50,0.8710366668079216,1.1480572955265924
"Uniform(0,1)",1.0,2,75,0.91890337379045,1.0882537038416007
"Uniform(0,1)",1.0,2,100,0.930675026923931,1.0744889151105752
"Uniform(0,1)",1.0,2,125,0.9259930748442557,1.079921683181261
"Uniform(0,1)",1.0,2,150,0.9706720906405174,1.0302140235021386
"Uniform(0,1)",1.0,2,200,0.9720323689039095,1.028772324863654
"Uniform(0,1)",1.0,2,250,0.9675557608718063,1.0335321646981463
"Uniform(0,1)",1.0,3,25,1.2112176971305901,0.8256154136197226
"Uniform(0,1)",1.0,3,50,1.3551557318406984,0.7379225697121224
"Uniform(0,1)",1.0,3,75,1.1774961239737118,0.8492596957561837
"Uniform(0,1)",1.0,3,100,1.1432658297691314,0.8746872109367057
"Uniform(0,1)",1.0,3,125,1.113464805448789,0.8980975376199194
"Uniform(0,1)",1.0,3,150,1.1119253767056714,0.8993409278621958
"Uniform(0,1)",1.0,3,200,1.1375170049887826,0.8791077369519071
"Uniform(0,1)",1.0,3,250,1.0940631266380065,0.9140240408914455
"Uniform(0,1)",1.0,4,25,0.7393017301708272,1.3526277015054926
"Uniform(0,1)",1.0,4,50,0.7402307732792122,1.3509300560013382
"Uniform(0,1)",1.0,4,75,0.818787380568162,1.2213182857142881
"Uniform(0,1)",1.0,4,100,0.7709037146690959,1.297178857711487
"Uniform(0,1)",1.0,4,125,0.7496171327682796,1.334014333833427
"Uniform(0,1)",1.0,4,150,0.7822141915749554,1.278422215770008
"Uniform(0,1)",1.0,4,200,0.8638552939943449,1.1576012868731071
"Uniform(0,1)",1.0,4,250,0.9007339896775348,1.1102056894266894
"Uniform(0,1)",1.0,5,25,0.6900964695063186,1.4490727661820675
"Uniform(0,1)",1.0,5,50,0.9066475302685844,1.102964455992905
"Uniform(0,1)",1.0,5,75,0.9007551040907229,1.110179665325861
"Uniform(0,1)",1.0,5,100,0.8684753567705391,1.1514431494274526
"Uniform(0,1)",1.0,5,125,0.885002274232543,1.1299405991551614
"Uniform(0,1)",1.0,5,150,0.8706852738409036,1.1485206308688822
"Uniform(0,1)",1.0,5,200,0.8996385916464201,1.1115574735071219
"Uniform(0,1)",1.0,5,250,0.8881671090990153,1.1259142449154997
"Uniform(0,1)",1.0,6,25,1.2043604363804878,0.8303162158044145
"Uniform(0,1)",1.0,6,50,1.0190530040782115,0.9813032256399205
"Uniform(0,1)",1.0,6,75,0.9087818910368247,1.1003740389887227
"Uniform(0,1)",1.0,6,100,0.9549325823347108,1.0471943449192027
"Uniform(0,1)",1.0,6,125,0.9471947633822897,1.0557490799771219
"Uniform(0,1)",1.0,6,150,0.9500867916370033,1.052535419713599
"Uniform(0,1)",1.0,6,200,0.9196338267295335,1.0873893183728032
"Uniform(0,1)",1.0,6,250,0.9450262076371994,1.058171711978495
"Uniform(0,1)",1.0,7,25,0.9614141077857857,1.0401345184158788
"Uniform(0,1)",1.0,7,50,0.9604577030761754,1.0411702637161195
"Uniform(0,1)",1.0,7,75,1.089707382933983,0.9176775487264753
"Uniform(0,1)",1.0,7,100,1.0856399846189617,0.9211156683317816
"Uniform(0,1)",1.0,7,125,1.0751865822249393,0.9300711304736041
"Uniform(0,1)",1.0,7,150,1.049392150096263,0.9529326095190133
"Uniform(0,1)",1.0,7,200,0.9817889912336504,1.0185488011466364
"Uniform(0,1)",1.0,7,250,0.9577594438849453,1.0441035130321608
"Uniform(0,1)",1.0,8,25,0.8697981426819252,1.1496920387949001
"Uniform(0,1)",1.0,8,50,0.8060659660861105,1.2405932542413929
"Uniform(0,1)",1.0,8,75,0.8985494690536586,1.1129047809167234
"Uniform(0,1)",1.0,8,100,1.029200722418925,0.9716277672733316
"Uniform(0,1)",1.0,8,125,0.992751115501887,1.007301814508109
"Uniform(0,1)",1.0,8,150,0.9886923691259365,1.0114369557479848
"Uniform(0,1)",1.0,8,200,0.9429491215623088,1.0605026052128532
"Uniform(0,1)",1.0,8,250,0.9919342647863384,1.0081313202900586
"Uniform(0,1)",1.0,9,25,1.3368944119063673,0.748002228967382
"Uniform(0,1)",1.0,9,50,1.1456335069229329,0.8728794976378692
"Uniform(0,1)",1.0,9,75,1.0327831418817532,0.9682574777295244
"Uniform(0,1)",1.0,9,100,1.0194394768087711,0.9809312104828195
"Uniform(0,1)",1.0,9,125,1.003383310581197,0.9966280976118318
"Uniform(0,1)",1.0,9,150,1.037451263356002,0.9639007009978929
"Uniform(0,1)",1.0,9,200,1.0164703570123796,0.9837965200866364
"Uniform(0,1)",1.0,9,250,0.9829306733223245,1.0173657483085565
"Uniform(0,1)",1.0,10,25,1.0914451859941645,0.9162164191407653
"Uniform(0,1)",1.0,10,50,1.0858178922927655,0.9209647465731512
"Uniform(0,1)",1.0,10,75,1.0540679073641663,0.9487054799919199
"Uniform(0,1)",1.0,10,100,1.105219530704503,0.9047976191323432
"Uniform(0,1)",1.0,10,125,1.0447716725866856,0.9571469309884348
"Uniform(0,1)",1.0,10,150,0.9956542116404298,1.0043647566682916
"Uniform(0,1)",1.0,10,200,1.100295936615082,0.9088463991572764
"Uniform(0,1)",1.0,10,250,1.0698542806418285,0.9347067335189597
"Uniform(0,1)",1.0,11,25,1.193681720288464,0.8377442520928786
"Uniform(0,1)",1.0,11,50,1.0619804733878844,0.9416368992264453
"Uniform(0,1)",1.0,11,75,1.0981463657939008,0.9106254240317535
"Uniform(0,1)",1.0,11,100,1.0322874379452947,0.9687224345095579
"Uniform(0,1)",1.0,11,125,0.9881404643580194,1.0120018722739845
"Uniform(0,1)",1.0,11,150,0.9880494806723796,1.01209506159498
"Uniform(0,1)",1.0,11,200,1.0373501077994904,0.9639946942515671
